,value,metric,type
0,0.4554300980641364,ade,best_of
1,0.5275666668513276,ade,best_of
2,0.4912905293548504,ade,best_of
3,0.9316068669975204,ade,best_of
4,0.39204399031986775,ade,best_of
5,0.13975940992586097,ade,best_of
6,0.3006943704488839,ade,best_of
7,0.06628213980809615,ade,best_of
8,0.008406644458221915,ade,best_of
9,0.19428952372909788,ade,best_of
10,0.0688656605937826,ade,best_of
11,0.004254413805794826,ade,best_of
12,0.20635555473790348,ade,best_of
13,0.08071271974673351,ade,best_of
14,0.011649854751883598,ade,best_of
15,0.2514885980750138,ade,best_of
16,0.11481927594372993,ade,best_of
17,0.00983049012014107,ade,best_of
18,0.279760254075463,ade,best_of
19,0.13904972743729754,ade,best_of
20,0.010359501848530225,ade,best_of
21,0.3287000252036332,ade,best_of
22,0.19848862797675504,ade,best_of
23,0.01683050680709361,ade,best_of
24,0.35635395855328644,ade,best_of
25,0.14004938575638567,ade,best_of
26,0.019022699422707803,ade,best_of
27,0.16681006214948926,ade,best_of
28,0.1484647240208438,ade,best_of
29,0.01740592264260375,ade,best_of
30,0.24451890448141045,ade,best_of
31,0.09874628471251033,ade,best_of
32,0.02732553018509853,ade,best_of
33,0.42566695621476347,ade,best_of
34,0.1307533179660443,ade,best_of
35,0.01946035782611812,ade,best_of
36,0.5822169867227539,ade,best_of
37,0.18843743873775146,ade,best_of
38,0.029813585788709723,ade,best_of
39,0.2010019784327209,ade,best_of
40,0.16649408924404632,ade,best_of
41,0.02230521470761762,ade,best_of
42,0.2577293459788673,ade,best_of
43,0.10525025791738751,ade,best_of
44,0.026429552885874858,ade,best_of
45,0.2813709457543871,ade,best_of
46,0.019275383008170985,ade,best_of
47,0.5735825230569458,ade,best_of
48,0.019623481645395707,ade,best_of
49,0.2743478902904087,ade,best_of
50,0.023962774253200373,ade,best_of
51,0.290546033069352,ade,best_of
52,0.02216983557034766,ade,best_of
53,0.37542080101457337,ade,best_of
54,0.02437467981014287,ade,best_of
55,0.13720754031582363,ade,best_of
56,0.03168505715608067,ade,best_of
57,0.13731322334532403,ade,best_of
58,0.03335951039105875,ade,best_of
59,0.13414125716762607,ade,best_of
60,0.594507295704791,ade,best_of
61,0.16478177960891086,ade,best_of
62,0.12301790479593026,ade,best_of
63,2.1455771841910747,ade,best_of
64,0.4671423015101263,ade,best_of
65,0.3471962717996191,ade,best_of
66,0.3747872449084558,ade,best_of
67,0.41299425936403983,ade,best_of
68,0.7253775966272076,ade,best_of
69,0.4753419616897619,ade,best_of
70,0.4369747200579684,ade,best_of
71,0.2264047438581056,ade,best_of
72,0.35172245410948993,ade,best_of
73,0.37166669797520524,ade,best_of
74,0.26255290287325905,ade,best_of
75,0.2846937108026839,ade,best_of
76,0.518199373519843,ade,best_of
77,0.6593980769571417,ade,best_of
78,0.6460164242345391,ade,best_of
79,0.5109238541705812,ade,best_of
80,0.3879964054327926,ade,best_of
81,0.39767421732905645,ade,best_of
82,0.14211838511085623,ade,best_of
83,0.6982435194019064,ade,best_of
84,0.12218476962487579,ade,best_of
85,0.12511486196768953,ade,best_of
86,0.06578038268940177,ade,best_of
87,0.12356283172171727,ade,best_of
88,0.17280968341753392,ade,best_of
89,0.19332485980446837,ade,best_of
90,0.2542606682046573,ade,best_of
91,0.4347107292171266,ade,best_of
92,0.2924418859344155,ade,best_of
93,0.6521404214686611,ade,best_of
94,0.5726077795605888,ade,best_of
95,0.8985525825733173,ade,best_of
96,1.193590895172557,ade,best_of
97,0.34482311437580365,ade,best_of
98,0.3779913726485304,ade,best_of
99,1.300485784740425,ade,best_of
100,0.12218336974127587,ade,best_of
101,0.23825350723014901,ade,best_of
102,0.11325127978475197,ade,best_of
103,0.25708185121770205,ade,best_of
104,0.17905105920441858,ade,best_of
105,0.3074254498397088,ade,best_of
106,0.22515557934312633,ade,best_of
107,0.3873647592049631,ade,best_of
108,0.18498684916837613,ade,best_of
109,0.09019421333273263,ade,best_of
110,0.13260747158637207,ade,best_of
111,0.21532105432670753,ade,best_of
112,0.2964949353759592,ade,best_of
113,0.14448718229504934,ade,best_of
114,0.29469990363018095,ade,best_of
115,0.2770901261073982,ade,best_of
116,0.2442107218513795,ade,best_of
117,0.40544671219887674,ade,best_of
118,0.49805995508861495,ade,best_of
119,1.2892458411830154,ade,best_of
120,0.6652198750012418,ade,best_of
121,0.5053997440914371,ade,best_of
122,0.46848876126861,ade,best_of
123,0.4683032334374612,ade,best_of
124,1.0118252754066972,ade,best_of
125,0.6779231200054808,ade,best_of
126,0.45974646267985325,ade,best_of
127,0.5110281969981755,ade,best_of
128,0.6346944859548452,ade,best_of
129,0.7086376258454389,ade,best_of
130,0.5989120008748036,ade,best_of
131,0.26186741950891695,ade,best_of
132,0.38568241188226837,ade,best_of
133,0.16782159624271317,ade,best_of
134,0.20422824374059964,ade,best_of
135,0.12788331123751245,ade,best_of
136,0.23321978005554045,ade,best_of
137,0.26472304097837723,ade,best_of
138,0.15064671239318583,ade,best_of
139,0.2806284090301135,ade,best_of
140,0.1580013677892775,ade,best_of
141,0.3330450644063969,ade,best_of
142,0.14765794677679175,ade,best_of
143,0.6921847637375612,ade,best_of
144,0.525077056377278,ade,best_of
145,0.1018502091037423,ade,best_of
146,0.919077202324316,ade,best_of
147,0.28078886587090607,ade,best_of
148,0.3446142867420563,ade,best_of
149,0.1922618761646295,ade,best_of
150,0.33536977261270984,ade,best_of
151,0.4111523210452328,ade,best_of
152,0.27152784419760323,ade,best_of
153,0.16709096441386062,ade,best_of
154,0.14088926701477325,ade,best_of
155,0.13933302932213001,ade,best_of
156,0.3336279446698199,ade,best_of
157,0.3861544840810603,ade,best_of
158,0.5228805033624218,ade,best_of
159,0.28257404767440986,ade,best_of
160,0.43463164437824253,ade,best_of
161,0.5912954259217424,ade,best_of
162,0.47336882930817775,ade,best_of
163,0.3833252458255987,ade,best_of
164,0.39819598111877985,ade,best_of
165,0.629234910447018,ade,best_of
166,0.3458749954682596,ade,best_of
167,0.2665586149208254,ade,best_of
168,0.5380402413180717,ade,best_of
169,0.20016977295927216,ade,best_of
170,1.1372439086934023,ade,best_of
171,0.3291451124234169,ade,best_of
172,0.32796351172279214,ade,best_of
173,0.3233078710678264,ade,best_of
174,0.32915436098444406,ade,best_of
175,0.6068290192454936,ade,best_of
176,0.23931625938929058,ade,best_of
177,0.7308294298448991,ade,best_of
178,0.7345035394888858,ade,best_of
179,0.38531933526532797,ade,best_of
180,0.398625108581321,ade,best_of
181,0.23757013510424382,ade,best_of
182,0.141118773824325,ade,best_of
183,0.13158653870137804,ade,best_of
184,0.3404760423251246,ade,best_of
185,0.19552252842682893,ade,best_of
186,0.20695711631218575,ade,best_of
187,0.3058203121989145,ade,best_of
188,0.3526268689646794,ade,best_of
189,0.2738613230293832,ade,best_of
190,0.521732176429127,ade,best_of
191,0.6882804319183234,ade,best_of
192,0.26742630116174465,ade,best_of
193,0.329568492956857,ade,best_of
194,0.4246969916009548,ade,best_of
195,0.6959756648850988,ade,best_of
196,0.34147377268430673,ade,best_of
197,0.36403953845479897,ade,best_of
198,0.14231293441898726,ade,best_of
199,0.21791617726756365,ade,best_of
200,0.25383054287500495,ade,best_of
201,0.12992537484629327,ade,best_of
202,0.24535616187968642,ade,best_of
203,0.5495397104839616,ade,best_of
204,0.47707021943768274,ade,best_of
205,0.2949016967025168,ade,best_of
206,0.26341336565819345,ade,best_of
207,0.35609827425654444,ade,best_of
208,0.2921886724300211,ade,best_of
209,0.39846090704956777,ade,best_of
210,0.6033356239985407,ade,best_of
211,0.36507931993487647,ade,best_of
212,0.7224372856718854,ade,best_of
213,0.9894270321677604,ade,best_of
214,0.5104942100535196,ade,best_of
215,1.0058039693527505,ade,best_of
216,1.1283241702372642,ade,best_of
217,1.3402232899645214,ade,best_of
218,0.918469015892286,ade,best_of
219,1.5251256126561572,ade,best_of
220,0.9651367974809251,ade,best_of
221,2.27401691353844,ade,best_of
222,1.3135195260986146,ade,best_of
223,2.7141459876176484,ade,best_of
224,0.8644875580656984,ade,best_of
225,3.1605401886336484,ade,best_of
226,0.5591934250056988,ade,best_of
