,value,metric,type
0,0.907983721417775,fde,ml
1,1.220068444000054,fde,ml
2,2.0841873290102297,fde,ml
3,5.462410077739032,fde,ml
4,1.6801666420735688,fde,ml
5,0.5383324410116082,fde,ml
6,0.271675994451396,fde,ml
7,0.348349722739705,fde,ml
8,0.018078788658147424,fde,ml
9,0.60329156132385,fde,ml
10,0.10412171604863261,fde,ml
11,0.02060447222493052,fde,ml
12,0.439700480094471,fde,ml
13,0.26682039368960736,fde,ml
14,0.034433773166913983,fde,ml
15,0.4420544160997041,fde,ml
16,0.17402390662541062,fde,ml
17,0.04976347730319924,fde,ml
18,0.439700480094471,fde,ml
19,0.5360506840963144,fde,ml
20,0.053526994247435934,fde,ml
21,0.41041596673358227,fde,ml
22,1.1220541822578813,fde,ml
23,0.053526994247435934,fde,ml
24,0.37558165711693164,fde,ml
25,0.7900497857735044,fde,ml
26,0.04759627732826232,fde,ml
27,1.1298155383265178,fde,ml
28,0.35473309741433134,fde,ml
29,0.05431710124277476,fde,ml
30,2.3823509421700173,fde,ml
31,0.2957125935503647,fde,ml
32,0.06268721186344288,fde,ml
33,2.0291577941000076,fde,ml
34,0.6688257531416159,fde,ml
35,0.05614825312555363,fde,ml
36,2.4334062643537524,fde,ml
37,0.9877117820569737,fde,ml
38,0.05255461648955594,fde,ml
39,1.7312270923836377,fde,ml
40,0.7037838666651826,fde,ml
41,0.06058233431361425,fde,ml
42,0.718838899403711,fde,ml
43,1.0710161439691979,fde,ml
44,0.06267768453426889,fde,ml
45,2.0456260911663713,fde,ml
46,0.19659934088693334,fde,ml
47,0.6544433491739388,fde,ml
48,0.23100588383047457,fde,ml
49,0.9845031274855999,fde,ml
50,0.181245960174115,fde,ml
51,0.394394747263415,fde,ml
52,0.10980211516180752,fde,ml
53,1.4012224508313849,fde,ml
54,0.11378190390304321,fde,ml
55,2.025776223640729,fde,ml
56,0.09604797090143827,fde,ml
57,0.8022780853492244,fde,ml
58,0.10368337089635042,fde,ml
59,0.2774525368700665,fde,ml
60,2.608533524869337,fde,ml
61,1.1651074447397487,fde,ml
62,1.5571811851066297,fde,ml
63,4.331277391493304,fde,ml
64,1.9383698700434926,fde,ml
65,0.6215252648433967,fde,ml
66,0.8424588900770611,fde,ml
67,1.4636878545773415,fde,ml
68,1.4660762202848516,fde,ml
69,1.5292797264734426,fde,ml
70,3.5900471225276944,fde,ml
71,3.539102060173291,fde,ml
72,3.8713362574165435,fde,ml
73,2.2413687144540946,fde,ml
74,1.3904847718587476,fde,ml
75,1.3429699400442936,fde,ml
76,1.5494409978095351,fde,ml
77,1.4550498948995103,fde,ml
78,1.3829414344001858,fde,ml
79,0.13583897431628816,fde,ml
80,1.2023029358588286,fde,ml
81,0.9103381460033726,fde,ml
82,1.3840702202668063,fde,ml
83,1.9573686510140695,fde,ml
84,1.1538187249307128,fde,ml
85,0.2149243485038215,fde,ml
86,0.40264879861098196,fde,ml
87,0.4854949362654906,fde,ml
88,0.7712532185788313,fde,ml
89,1.273431502372347,fde,ml
90,1.425048205576458,fde,ml
91,2.3465158671541784,fde,ml
92,2.0513113073734712,fde,ml
93,2.5249391905116436,fde,ml
94,2.852218260656962,fde,ml
95,3.3217157164160795,fde,ml
96,3.7426273498423255,fde,ml
97,1.1080152608203346,fde,ml
98,2.5442802756155865,fde,ml
99,3.638755615049875,fde,ml
100,2.3316417717823406,fde,ml
101,0.40381229551088277,fde,ml
102,0.5431863976425494,fde,ml
103,0.9931164469251508,fde,ml
104,1.5746072598224368,fde,ml
105,0.6726134024916759,fde,ml
106,0.4163326590939858,fde,ml
107,1.3745820543704126,fde,ml
108,0.7104884871469764,fde,ml
109,0.2762005263789642,fde,ml
110,0.45160296801088856,fde,ml
111,0.7264896088411827,fde,ml
112,0.2508850031799633,fde,ml
113,0.9722455090610598,fde,ml
114,1.6723549447930517,fde,ml
115,1.6340116055155587,fde,ml
116,2.2938893975398518,fde,ml
117,2.106212371648678,fde,ml
118,1.7268431020741817,fde,ml
119,3.7091306686543226,fde,ml
120,3.8157712734784686,fde,ml
121,3.5313875391525085,fde,ml
122,3.516298693940815,fde,ml
123,2.1644208525752586,fde,ml
124,2.483775652456135,fde,ml
125,3.6116720083707667,fde,ml
126,2.2577238850434376,fde,ml
127,2.5006026644421855,fde,ml
128,3.0974168894615497,fde,ml
129,3.3386223433640754,fde,ml
130,3.0792094669262338,fde,ml
131,1.9911850423920157,fde,ml
132,2.1108584108776696,fde,ml
