,value,metric,type
0,1.618381680278072,kde,full
1,0.7108457625072004,kde,full
2,2.7835330825923466,kde,full
3,6.4403083578311,kde,full
4,1.8076964623059866,kde,full
5,0.8062982583562418,kde,full
6,0.04853196795368714,kde,full
7,-1.7238111126267885,kde,full
8,-4.692554022050849,kde,full
9,-2.341003073237253,kde,full
10,-2.1200411263679637,kde,full
11,-4.884074012476222,kde,full
12,-1.6357901829481898,kde,full
13,-2.2246744024373526,kde,full
14,-4.8440126094635385,kde,full
15,-0.8766316324590915,kde,full
16,-1.334628432510539,kde,full
17,-4.84744764402901,kde,full
18,0.7197456588420378,kde,full
19,-0.652554238988628,kde,full
20,-4.653963221080543,kde,full
21,2.3745469532781143,kde,full
22,0.2906887538441615,kde,full
23,-4.651690781008583,kde,full
24,3.1374388618292,kde,full
25,0.1947664609221385,kde,full
26,-4.841944399106657,kde,full
27,2.188962873959382,kde,full
28,-1.2059989512847038,kde,full
29,-4.638786045859689,kde,full
30,0.9422364499330862,kde,full
31,-0.9003657557276501,kde,full
32,-4.599142078482192,kde,full
33,2.8523135849749597,kde,full
34,-0.23135409324588005,kde,full
35,-4.5136385514562525,kde,full
36,5.374951060230003,kde,full
37,-0.4394440730927073,kde,full
38,-4.327445645584434,kde,full
39,2.6577953214874226,kde,full
40,1.0082228624393108,kde,full
41,-4.07767015790004,kde,full
42,2.6591284489319906,kde,full
43,1.503849947055036,kde,full
44,-4.329350113563341,kde,full
45,2.735152035447627,kde,full
46,-3.9353778825561743,kde,full
47,1.8422218538084145,kde,full
48,-3.4633415433378203,kde,full
49,-0.061004835817363684,kde,full
50,-3.731533037516745,kde,full
51,0.650595105412439,kde,full
52,-4.328133599131336,kde,full
53,2.816306415991093,kde,full
54,-4.392579602621542,kde,full
55,1.9960859601893644,kde,full
56,-4.461164964490568,kde,full
57,0.6467066083663292,kde,full
58,-4.299610220490175,kde,full
59,1.3691299126753287,kde,full
60,2.2543727113763428,kde,full
61,-0.21105460116353492,kde,full
62,0.523601308214236,kde,full
63,6.574794925973854,kde,full
64,1.3943714907010718,kde,full
65,3.5424149106552143,kde,full
66,1.5778394802772118,kde,full
67,3.070825256662941,kde,full
68,5.325196784742867,kde,full
69,3.839743868270785,kde,full
70,4.10597383114046,kde,full
71,2.878892320886637,kde,full
72,2.543327248127641,kde,full
73,0.8265698793483823,kde,full
74,0.7152572521453491,kde,full
75,0.08114514942427148,kde,full
76,1.7646689857093738,kde,full
77,3.7249386441137986,kde,full
78,9.418458648676141,kde,full
79,2.649813276581443,kde,full
80,1.928347097315882,kde,full
81,4.487742506235862,kde,full
82,3.649775472665019,kde,full
83,1.2700848813737113,kde,full
84,1.424081617051789,kde,full
85,-1.5122596483254793,kde,full
86,-1.7466933166190732,kde,full
87,-0.31024609444752344,kde,full
88,1.702757753003233,kde,full
89,1.4241552516428584,kde,full
90,-0.9150398529711526,kde,full
91,0.7960062904829536,kde,full
92,-0.016150236960727038,kde,full
93,0.9289067880986769,kde,full
94,0.8282536773353546,kde,full
95,3.7334376857194593,kde,full
96,11.209567218989596,kde,full
97,2.808691363709748,kde,full
98,4.688575782742334,kde,full
99,14.977192447419633,kde,full
100,0.5500502752826575,kde,full
101,0.8199750892155866,kde,full
102,2.007597914645017,kde,full
103,1.8445257532743453,kde,full
104,1.776472534581156,kde,full
105,3.3817885905219573,kde,full
106,1.6098843056321377,kde,full
107,2.17873972860966,kde,full
108,1.0708496001524968,kde,full
109,1.7570249370917372,kde,full
110,-0.15909074743913298,kde,full
111,0.8842974780477801,kde,full
112,2.385747738128471,kde,full
113,1.4489217685673597,kde,full
114,0.20965754257074998,kde,full
115,0.04027631243707028,kde,full
116,2.5699679349638624,kde,full
117,2.5494178291381733,kde,full
118,1.942097840803919,kde,full
119,5.4731225161737145,kde,full
120,5.197184203126754,kde,full
121,2.324312394593167,kde,full
122,5.206786380017602,kde,full
123,4.34067652448818,kde,full
124,4.585252044161425,kde,full
125,6.097941391364566,kde,full
126,1.5769563571797927,kde,full
127,1.4425490157192402,kde,full
128,1.9556013989606411,kde,full
129,7.934312915118621,kde,full
130,5.51985417966046,kde,full
131,2.398082060811121,kde,full
132,2.5741613336825293,kde,full
133,1.506105108954749,kde,full
134,0.32176749443752256,kde,full
135,1.2215855625938756,kde,full
136,-0.45882988601686375,kde,full
137,0.17262761184972014,kde,full
138,0.9849661349947283,kde,full
139,0.2148103055531437,kde,full
140,0.37845894831541327,kde,full
141,0.6893937723692062,kde,full
142,-1.282933244067794,kde,full
143,1.6599577277861854,kde,full
144,9.17878389289261,kde,full
145,-0.7087777344632253,kde,full
146,6.057814371935833,kde,full
147,1.5026193046508207,kde,full
148,1.161387359033606,kde,full
149,-0.5167004014717764,kde,full
150,2.6832757509990355,kde,full
151,-0.44235916933059566,kde,full
152,-0.07638960413657248,kde,full
153,1.7331901009577806,kde,full
154,1.339165507944272,kde,full
155,-1.055272051659606,kde,full
156,0.8558225753385451,kde,full
157,1.3061922919011115,kde,full
158,3.5310442639449966,kde,full
159,3.337219545306848,kde,full
160,5.342579863988111,kde,full
161,4.627322388755555,kde,full
162,6.519708276217894,kde,full
163,3.9688705010796954,kde,full
164,2.6786102413401567,kde,full
165,3.6322915592043126,kde,full
166,2.823809419529086,kde,full
167,4.0478305678323006,kde,full
168,3.9578115048535545,kde,full
169,1.1574903438322737,kde,full
170,4.231873353934847,kde,full
171,3.2025931597972366,kde,full
172,1.6707613489747932,kde,full
173,1.0288198565153182,kde,full
174,2.424756309816173,kde,full
175,2.122091568747778,kde,full
176,0.6962174016689743,kde,full
177,7.229842477820089,kde,full
178,4.495679293847964,kde,full
179,3.5905912796938977,kde,full
180,5.26335762681971,kde,full
181,2.1763093953385626,kde,full
182,2.771256351647138,kde,full
183,1.3074177011506734,kde,full
184,0.33035878610133873,kde,full
185,-1.5484183198504484,kde,full
186,-1.4235917389714399,kde,full
187,1.491496422678897,kde,full
188,-0.5512890126743925,kde,full
189,2.4420713134614687,kde,full
190,1.527310617827505,kde,full
191,7.690482090727123,kde,full
192,2.756505950740358,kde,full
193,2.4312982390701037,kde,full
194,6.80760179263367,kde,full
195,2.8975153470257196,kde,full
196,4.689910181617094,kde,full
197,0.36656731108782437,kde,full
198,1.2992738490166724,kde,full
199,1.53845224795909,kde,full
200,-0.48310532029365316,kde,full
201,-0.38630095271965215,kde,full
202,-0.11880515696811278,kde,full
203,1.2752631509856973,kde,full
204,4.255356447224849,kde,full
205,1.1273088348137503,kde,full
206,-0.3915595110779662,kde,full
207,0.2526913135475014,kde,full
208,0.6699602310602222,kde,full
209,0.27183910684860346,kde,full
210,3.0419183544246837,kde,full
211,-0.003253598982574768,kde,full
212,2.931121681762523,kde,full
213,4.7002537063120275,kde,full
214,1.1821232835346727,kde,full
215,6.5215280375543,kde,full
216,3.6060282759500595,kde,full
217,8.06611316046941,kde,full
218,6.981734221815945,kde,full
219,6.605459670200211,kde,full
220,6.689423703760483,kde,full
221,10.740575715560059,kde,full
222,9.394721282591505,kde,full
223,13.479535027374943,kde,full
224,4.9157845565359235,kde,full
225,16.360582530971524,kde,full
226,2.956482733153729,kde,full
227,4.986940018228442,kde,full
228,4.232794199547449,kde,full
229,1.47837909742375,kde,full
230,2.110656222444652,kde,full
231,0.8224126313843823,kde,full
232,-0.6871423452754202,kde,full
233,0.6750099014402238,kde,full
234,1.6706994130860897,kde,full
235,4.4228799958409475,kde,full
236,2.956368463187905,kde,full
237,2.1465309959022543,kde,full
238,1.1818617112265528,kde,full
239,2.2442019286680748,kde,full
