,value,metric,type
0,0.007117388426713076,ade,best_of
1,0.006628192517230894,ade,best_of
2,0.019622023679852007,ade,best_of
3,0.009228257553930426,ade,best_of
4,0.009809207301310779,ade,best_of
5,0.01622488568218925,ade,best_of
6,0.009997452547106425,ade,best_of
7,0.028859260182574325,ade,best_of
8,0.029690974145961817,ade,best_of
9,0.006708712102078755,ade,best_of
10,0.023549482950652484,ade,best_of
11,0.03517587710863334,ade,best_of
12,0.00630452832225049,ade,best_of
13,0.006318306145830646,ade,best_of
14,0.04151518211697031,ade,best_of
15,0.012681235941176336,ade,best_of
16,0.006497854462336465,ade,best_of
17,0.042880416379106785,ade,best_of
18,0.008118810331728395,ade,best_of
19,0.0069063969635732815,ade,best_of
20,0.04130080869079142,ade,best_of
21,0.14787138032597544,ade,best_of
22,0.1487823223589594,ade,best_of
23,0.31706445761940766,ade,best_of
24,0.14596247199788095,ade,best_of
25,0.15589977998114288,ade,best_of
26,0.1729275868252271,ade,best_of
27,0.19699484533634745,ade,best_of
28,0.11441067284842593,ade,best_of
29,0.09499883785450634,ade,best_of
30,0.11716674398168613,ade,best_of
31,0.08667216065145815,ade,best_of
32,0.12132099504510581,ade,best_of
33,0.14900796389670537,ade,best_of
34,0.12327770670707457,ade,best_of
35,0.19685529226809007,ade,best_of
36,0.1747400129731921,ade,best_of
37,0.14095968833893438,ade,best_of
38,0.15831042473003862,ade,best_of
39,0.18946228845137225,ade,best_of
40,0.09713653325772002,ade,best_of
41,0.15429947806292438,ade,best_of
42,0.0997233214875257,ade,best_of
43,0.2858709266610881,ade,best_of
44,0.22973035312723175,ade,best_of
45,0.1175570324682424,ade,best_of
46,0.07211261014633231,ade,best_of
47,0.43500610647428367,ade,best_of
48,0.3403171146462915,ade,best_of
49,0.0588481654209049,ade,best_of
50,0.0615835294574247,ade,best_of
51,0.056107278457824976,ade,best_of
52,0.03556642850435957,ade,best_of
53,0.031016901798858423,ade,best_of
54,0.034868818440438765,ade,best_of
55,0.03517664550941708,ade,best_of
56,0.033315586806481313,ade,best_of
57,0.036413181226765005,ade,best_of
58,0.03816905461587568,ade,best_of
59,0.04767211549228353,ade,best_of
60,0.05906339600177377,ade,best_of
61,0.2570245609890897,ade,best_of
62,0.26477505916065097,ade,best_of
63,0.16640272326805175,ade,best_of
64,0.08913670973712086,ade,best_of
65,0.007078102118028504,ade,best_of
66,0.007905434012056472,ade,best_of
67,0.12939037423140098,ade,best_of
68,0.013548144900130338,ade,best_of
69,0.00695531062089131,ade,best_of
70,0.07442066416877109,ade,best_of
71,0.0052232217459729354,ade,best_of
72,0.010799587000796333,ade,best_of
73,0.05970032092546302,ade,best_of
74,0.004015472393200878,ade,best_of
75,0.008043848866398261,ade,best_of
76,0.11656029062779628,ade,best_of
77,0.006617923009676626,ade,best_of
78,0.005528727576488393,ade,best_of
79,0.11760725575312074,ade,best_of
80,0.22657643962458648,ade,best_of
81,0.06996298699205185,ade,best_of
82,0.09650421025891676,ade,best_of
83,0.04424228283540509,ade,best_of
84,0.03692094986651059,ade,best_of
85,0.03861321910963966,ade,best_of
86,0.020063500246443232,ade,best_of
87,0.02066878059414661,ade,best_of
88,0.2876778914008607,ade,best_of
89,0.18950483367683177,ade,best_of
90,0.25390024688508606,ade,best_of
91,0.08870163733732395,ade,best_of
92,0.04318102402934826,ade,best_of
93,0.07756061064085369,ade,best_of
94,0.10142876193213214,ade,best_of
95,0.0970203115522601,ade,best_of
96,0.13188869866751485,ade,best_of
97,0.1295627180320018,ade,best_of
98,0.16255108089444933,ade,best_of
99,0.11550938337243948,ade,best_of
100,0.10670748669656759,ade,best_of
101,0.10494478720482181,ade,best_of
102,0.19744323807747907,ade,best_of
103,0.0931143817697635,ade,best_of
104,0.07688474632279062,ade,best_of
105,0.006042443891075,ade,best_of
106,0.02554096518717275,ade,best_of
107,0.012035395075612416,ade,best_of
108,0.013492091084378282,ade,best_of
109,0.01266161248796748,ade,best_of
110,0.012774593874816028,ade,best_of
111,0.02619532218369175,ade,best_of
112,0.005401396433299086,ade,best_of
113,0.020106291545485985,ade,best_of
114,0.003831983455181199,ade,best_of
115,0.012181638348247745,ade,best_of
116,0.006668224915536331,ade,best_of
117,0.01212511139688509,ade,best_of
118,0.010103201006552074,ade,best_of
119,0.009711882778677567,ade,best_of
120,0.01581775441055105,ade,best_of
121,0.005509977815351657,ade,best_of
122,0.011374324120354044,ade,best_of
123,0.006557768047835363,ade,best_of
124,0.005741612890619689,ade,best_of
125,0.008494817172868057,ade,best_of
126,0.010430352095037891,ade,best_of
127,0.020260519207843383,ade,best_of
128,0.007718825974947979,ade,best_of
129,0.010157502995981208,ade,best_of
130,0.01750920949665757,ade,best_of
131,0.018132226679491877,ade,best_of
132,0.012949838213936806,ade,best_of
133,0.013788190503709746,ade,best_of
134,0.005013391362395747,ade,best_of
135,0.01250189354984365,ade,best_of
136,0.008612022479504006,ade,best_of
137,0.017196071905129885,ade,best_of
138,0.013926400915467095,ade,best_of
139,0.012937847977666665,ade,best_of
140,0.10919831030340332,ade,best_of
141,0.2214876642553767,ade,best_of
142,0.17648749659451787,ade,best_of
143,0.115520256182725,ade,best_of
144,0.5491657037309428,ade,best_of
145,0.09830927203358909,ade,best_of
146,0.11182282572822431,ade,best_of
147,0.23544072289835305,ade,best_of
148,0.1464239388128128,ade,best_of
149,0.15765703889383628,ade,best_of
150,0.012237814441843665,ade,best_of
151,0.009705811798677393,ade,best_of
152,0.12458474506396687,ade,best_of
153,0.40089092163934725,ade,best_of
154,0.012352973881464212,ade,best_of
155,0.008745843648387123,ade,best_of
156,0.12951861150893254,ade,best_of
157,0.14908044069791063,ade,best_of
158,0.009128997986926282,ade,best_of
159,0.006338723272497712,ade,best_of
160,0.1769348444800686,ade,best_of
161,0.18370998403495445,ade,best_of
162,0.03514057499329643,ade,best_of
163,0.007057767387133846,ade,best_of
164,0.10146877753879084,ade,best_of
165,0.1478068334746566,ade,best_of
166,0.03099234352169404,ade,best_of
167,0.006438451672705845,ade,best_of
168,0.11294329933495469,ade,best_of
169,0.18850527437480857,ade,best_of
