,value,metric,type
0,-4.826409814785579,kde,full
1,-4.594505252239662,kde,full
2,-4.6726926620976394,kde,full
3,-4.953888791381261,kde,full
4,-4.563203779727361,kde,full
5,-4.805613764128276,kde,full
6,-4.862955658083996,kde,full
7,-4.371051367772084,kde,full
8,-4.6080285936823655,kde,full
9,-4.817219772680626,kde,full
10,-4.255495508465097,kde,full
11,-4.520715561422063,kde,full
12,-4.933462103084262,kde,full
13,-4.626963189584945,kde,full
14,-4.2780516466548395,kde,full
15,-4.894105214546214,kde,full
16,-4.624867776050671,kde,full
17,-4.098648765516788,kde,full
18,-4.821279008550201,kde,full
19,-4.892718061682153,kde,full
20,-3.8729717136134507,kde,full
21,-0.07806065178900398,kde,full
22,2.026526529738781,kde,full
23,-0.26782534331557606,kde,full
24,0.915602601169015,kde,full
25,1.23141654394292,kde,full
26,0.21857117658383213,kde,full
27,2.9280649056543795,kde,full
28,-1.2775661851946316,kde,full
29,0.7871558526908934,kde,full
30,-1.542358639748595,kde,full
31,-1.1027021107757158,kde,full
32,-0.8317899112418452,kde,full
33,0.031977496464557664,kde,full
34,0.21264317574485728,kde,full
35,2.0465546785468067,kde,full
36,-0.26455876909563647,kde,full
37,1.0773464456566384,kde,full
38,2.483776664641146,kde,full
39,2.0350687629237383,kde,full
40,-0.41303908153329266,kde,full
41,-0.7296115959327133,kde,full
42,-1.2355851785114127,kde,full
43,2.840543889688473,kde,full
44,-0.33688966649944707,kde,full
45,-1.6610475886478697,kde,full
46,0.6902262437344788,kde,full
47,0.16004904453027924,kde,full
48,2.2325118257732046,kde,full
49,-1.6383568008809635,kde,full
50,-2.6255932669957915,kde,full
51,-3.218672658247044,kde,full
52,-3.0524463034656653,kde,full
53,-3.9122657226339403,kde,full
54,-3.956567449171532,kde,full
55,-4.003141558682216,kde,full
56,-4.010708920181668,kde,full
57,-3.92244793676748,kde,full
58,-3.648937742134002,kde,full
59,-3.298021367972294,kde,full
60,-2.3871963377350642,kde,full
61,3.232261693015293,kde,full
62,1.16856922796766,kde,full
63,2.532261237493783,kde,full
64,0.21754427409092125,kde,full
65,-4.9249856323723264,kde,full
66,-4.9381160765709815,kde,full
67,-1.0495300528609521,kde,full
68,-4.916329682997285,kde,full
69,-4.730748906082451,kde,full
70,-1.7054851413302556,kde,full
71,-4.932900128112076,kde,full
72,-4.873238254682119,kde,full
73,-2.9008198600435295,kde,full
74,-4.803695248732273,kde,full
75,-4.9221284525160796,kde,full
76,-1.9201291705547112,kde,full
77,-4.924081769207339,kde,full
78,-4.825778310920088,kde,full
79,-1.9518767183573167,kde,full
80,0.08516503988501278,kde,full
81,-1.478900063362276,kde,full
82,-1.5803649105441067,kde,full
83,-1.884799036907872,kde,full
84,-2.19382000725659,kde,full
85,-2.336736321317206,kde,full
86,-2.801840077578584,kde,full
87,-2.562365877893546,kde,full
88,3.3054087689500427,kde,full
89,0.23887873647688015,kde,full
90,0.5328462327417449,kde,full
91,-0.7752368368003894,kde,full
92,-2.694094735610578,kde,full
93,-2.6159925220842934,kde,full
94,-2.718058326599925,kde,full
95,-2.605024413851648,kde,full
96,-2.3953012423927698,kde,full
97,-1.8469874629232501,kde,full
98,-1.4044503825443349,kde,full
99,-1.4417938429765305,kde,full
100,-1.3766417386162157,kde,full
101,-0.1017090721630523,kde,full
102,-0.5054569986991791,kde,full
103,-1.3559976212985743,kde,full
104,-1.5648755801192427,kde,full
105,-2.746868252665072,kde,full
106,-2.6620426932918795,kde,full
107,-2.871424165904204,kde,full
108,-3.0049364302833776,kde,full
109,-3.019411522542981,kde,full
110,-2.9973070951834977,kde,full
111,-2.9538240495982833,kde,full
112,-3.0941430338674514,kde,full
113,-2.995182563280812,kde,full
114,-3.0654717127739524,kde,full
115,-3.114938774061406,kde,full
116,-3.1217368265300247,kde,full
117,-3.1197370628587064,kde,full
118,-3.112796824580549,kde,full
119,-3.181093045041159,kde,full
120,-3.1005036218659434,kde,full
121,-3.119934206680904,kde,full
122,-3.0974596501594287,kde,full
123,-3.079706822653172,kde,full
124,-3.029867846806091,kde,full
125,-3.147556216673887,kde,full
126,-3.102440629796643,kde,full
127,-3.150679352023371,kde,full
128,-3.080975468811372,kde,full
129,-3.0851909476771744,kde,full
130,-3.0837711536291406,kde,full
131,-3.1530302779783135,kde,full
132,-3.0832338453164994,kde,full
133,-3.1031249361275113,kde,full
134,-3.1561639844529954,kde,full
135,-3.114643537031804,kde,full
136,-3.128367218055305,kde,full
137,-3.1251765149873245,kde,full
138,-3.1294783403179665,kde,full
139,-3.1432777761336177,kde,full
140,1.2559918025019572,kde,full
141,0.5837899639945199,kde,full
142,-1.1459124983355717,kde,full
143,-1.8926830527694358,kde,full
144,3.6123752618675367,kde,full
145,-1.3011873701647119,kde,full
146,-0.9521813846124392,kde,full
147,1.254664211189218,kde,full
148,1.6251930832925368,kde,full
149,1.2526860137767069,kde,full
150,-4.044289229989115,kde,full
151,-4.664933805305848,kde,full
152,-1.1987363920711576,kde,full
153,2.506576133039486,kde,full
154,-4.33339820257948,kde,full
155,-4.740100622956803,kde,full
156,-1.3486299408080455,kde,full
157,1.9294134298228647,kde,full
158,-4.584005819418743,kde,full
159,-4.825721298435576,kde,full
160,1.9496459835927202,kde,full
161,1.3494633685667863,kde,full
162,-4.4639415000327896,kde,full
163,-4.87591454383538,kde,full
164,0.7527432859213536,kde,full
165,0.8839710544148185,kde,full
166,-4.415194182695938,kde,full
167,-4.895514992664006,kde,full
168,-0.7698335797767778,kde,full
169,-0.6488247726432199,kde,full
170,-4.417859065821656,kde,full
171,-4.793605839583734,kde,full
172,4.981721136180737,kde,full
173,-1.118898255893849,kde,full
174,-4.574784900496265,kde,full
175,-4.990631200696265,kde,full
176,1.8505669206064497,kde,full
177,0.5280887400253617,kde,full
178,-4.899633370431138,kde,full
179,-5.0988617767183495,kde,full
180,-4.2073441624170975,kde,full
181,-4.811213693008822,kde,full
182,0.6694595704444516,kde,full
183,4.7488612101665915,kde,full
184,-4.555470417653206,kde,full
185,-4.898262110842665,kde,full
186,0.49719245457418365,kde,full
187,2.051093675375193,kde,full
188,-4.462232411042012,kde,full
189,-4.888195311330312,kde,full
190,-0.9022868660482483,kde,full
191,-0.0037182850706824755,kde,full
192,-4.348071570213251,kde,full
193,-4.781154471293435,kde,full
194,0.9861142426059789,kde,full
195,0.47069250850192745,kde,full
196,-4.041144479834689,kde,full
197,-4.664688690206131,kde,full
198,2.0274336713894714,kde,full
199,0.4389423885993018,kde,full
200,-3.556219100877252,kde,full
201,-5.016246607417751,kde,full
202,1.2632456230094735,kde,full
