,value,metric,type
0,0.11948812428794352,ade,best_of
1,0.1300234334453712,ade,best_of
2,0.10536594413339302,ade,best_of
3,0.08067636918788075,ade,best_of
4,0.144673317482137,ade,best_of
5,0.08336542762308097,ade,best_of
6,0.04577858935179146,ade,best_of
7,0.17829788862862805,ade,best_of
8,0.0828004799576541,ade,best_of
9,0.3810476247131655,ade,best_of
10,0.12567242056354747,ade,best_of
11,0.2689500039627358,ade,best_of
12,0.14524907229565706,ade,best_of
13,0.0874240517779749,ade,best_of
14,0.1183055673164095,ade,best_of
15,0.13914668187972137,ade,best_of
16,0.1627974834826549,ade,best_of
17,0.17483013920407445,ade,best_of
18,0.05800086549865965,ade,best_of
19,0.1475476466952176,ade,best_of
20,0.11661486354010255,ade,best_of
21,0.07065638921479873,ade,best_of
22,0.41855379252792807,ade,best_of
23,0.09674632156308384,ade,best_of
24,0.15364646002459278,ade,best_of
25,0.19108652688094327,ade,best_of
26,0.0898860685175183,ade,best_of
27,0.05976726243456027,ade,best_of
28,0.02802595690981222,ade,best_of
29,0.05903834841119765,ade,best_of
30,0.03793645605849319,ade,best_of
31,0.07824445086234438,ade,best_of
32,0.3485547155867426,ade,best_of
33,0.688536543390987,ade,best_of
34,0.13635826581029656,ade,best_of
35,0.3270384979675181,ade,best_of
36,0.05730439561815873,ade,best_of
37,0.07795082129769192,ade,best_of
38,0.18533000672139519,ade,best_of
39,0.27665721798725057,ade,best_of
40,0.11873362718285387,ade,best_of
41,0.09658113936328554,ade,best_of
42,0.12544098540856244,ade,best_of
43,0.09754948799775319,ade,best_of
44,0.32303800914864395,ade,best_of
45,0.21761809341366542,ade,best_of
46,0.37838967587624217,ade,best_of
47,0.474380592848835,ade,best_of
48,0.27177013512263626,ade,best_of
49,0.22590561918056687,ade,best_of
50,0.15239339410207156,ade,best_of
51,0.2721386667989672,ade,best_of
52,0.23932686353731528,ade,best_of
53,0.10454455350271967,ade,best_of
54,0.266831559921669,ade,best_of
55,0.1537111840173873,ade,best_of
56,0.3711960447671449,ade,best_of
57,0.09199243578116868,ade,best_of
58,0.4632413220656985,ade,best_of
59,0.05394671524076903,ade,best_of
60,0.11511912774718003,ade,best_of
61,0.18773647450190153,ade,best_of
62,0.11677447010298618,ade,best_of
63,0.17500940774625182,ade,best_of
64,0.09293704211929445,ade,best_of
65,0.12386044784465362,ade,best_of
66,0.3975777588456406,ade,best_of
67,0.1394745290124977,ade,best_of
68,0.34604279119942233,ade,best_of
69,0.25792132932027634,ade,best_of
70,0.0864260813254215,ade,best_of
71,0.0587077302801452,ade,best_of
72,0.2532001169778597,ade,best_of
73,0.068455168210707,ade,best_of
74,0.06390261511878705,ade,best_of
75,0.13020840184603755,ade,best_of
76,0.14871835097722888,ade,best_of
77,0.1666929190406857,ade,best_of
78,0.1807019722553167,ade,best_of
79,0.26424954621235003,ade,best_of
80,0.10701622494077341,ade,best_of
81,0.2137114050168133,ade,best_of
82,0.04956530319160945,ade,best_of
83,0.08322792680605544,ade,best_of
84,0.06091437332083117,ade,best_of
85,0.08374664391017823,ade,best_of
86,0.09266351262006589,ade,best_of
87,0.37731262375911784,ade,best_of
88,0.132935317572553,ade,best_of
89,0.06956557936775883,ade,best_of
90,0.11874649537566567,ade,best_of
91,0.1396597909254598,ade,best_of
92,0.08161415931384663,ade,best_of
93,0.061719201473459266,ade,best_of
94,0.1513409014718108,ade,best_of
95,0.06484453022063597,ade,best_of
96,0.36219757663930885,ade,best_of
97,0.20573422576124545,ade,best_of
98,0.468519742809006,ade,best_of
99,0.3903523662607564,ade,best_of
100,0.2494874423708883,ade,best_of
101,0.420341192532913,ade,best_of
102,0.1041960945868367,ade,best_of
103,0.11586299912642017,ade,best_of
104,0.2445083253049263,ade,best_of
105,0.14919280477062022,ade,best_of
106,0.20815162697943745,ade,best_of
107,0.1746107224654527,ade,best_of
108,0.08481340402751643,ade,best_of
109,0.04529820520217743,ade,best_of
110,0.3620753845552016,ade,best_of
111,0.06735435566857613,ade,best_of
112,0.15265182527677965,ade,best_of
113,0.2349723312321913,ade,best_of
114,0.14532388578553745,ade,best_of
115,0.11475286727590871,ade,best_of
116,0.10532266427398462,ade,best_of
117,0.14316620228495128,ade,best_of
118,0.35466575884099355,ade,best_of
119,0.23274703988006382,ade,best_of
120,0.716304193142118,ade,best_of
121,0.24124202065773806,ade,best_of
122,0.1093695315771333,ade,best_of
123,0.11913745194974901,ade,best_of
124,0.2497429796195747,ade,best_of
125,0.13296706916859083,ade,best_of
126,0.06936783906523912,ade,best_of
127,0.23251225996716327,ade,best_of
128,0.06278565995254433,ade,best_of
129,0.07585329626135595,ade,best_of
130,0.19753433082784802,ade,best_of
131,0.21548503940587962,ade,best_of
132,0.1461679942777717,ade,best_of
133,0.13695197273755955,ade,best_of
134,0.07271373528592211,ade,best_of
135,0.19240982385650796,ade,best_of
136,0.11007002187430641,ade,best_of
137,0.10416482208819432,ade,best_of
138,0.21291420299250255,ade,best_of
139,0.27849375340604887,ade,best_of
140,0.10747550463299604,ade,best_of
141,0.23944123024797348,ade,best_of
142,0.23259679047518164,ade,best_of
143,0.050392958630373456,ade,best_of
144,0.06090474251514919,ade,best_of
145,0.15619820696334472,ade,best_of
146,0.11103348453907136,ade,best_of
147,0.23129042611278908,ade,best_of
148,0.11060506469500166,ade,best_of
149,0.41093261309291984,ade,best_of
150,0.4820996882939051,ade,best_of
151,0.42417917649270115,ade,best_of
152,0.2695565211972187,ade,best_of
153,0.1492636030082196,ade,best_of
154,0.37103122764962543,ade,best_of
155,0.18542829674457573,ade,best_of
156,0.09057546945175209,ade,best_of
157,0.41786749543705065,ade,best_of
158,0.3365470881279015,ade,best_of
159,0.06314730654551258,ade,best_of
160,0.39082858924155417,ade,best_of
161,0.09433252335002969,ade,best_of
162,0.6957143547970929,ade,best_of
163,0.08651784241831408,ade,best_of
164,0.21293798219675833,ade,best_of
165,0.21527980771143493,ade,best_of
166,0.11136613797594878,ade,best_of
167,0.11464096300530356,ade,best_of
168,0.21463628859625006,ade,best_of
169,0.35698337726119805,ade,best_of
170,0.13471482626095804,ade,best_of
171,0.4345148165825378,ade,best_of
172,0.4364729954188538,ade,best_of
173,0.2024823219513641,ade,best_of
174,0.10471416496207318,ade,best_of
175,0.4095957221084774,ade,best_of
176,0.14836276705436977,ade,best_of
177,0.14227011305410514,ade,best_of
178,0.14155721023946943,ade,best_of
179,0.0635070376022239,ade,best_of
180,0.20006658645719455,ade,best_of
181,0.2676329794804812,ade,best_of
182,0.27111398401814907,ade,best_of
183,0.10630993557393381,ade,best_of
184,0.12302340033218591,ade,best_of
185,0.07082791097664208,ade,best_of
186,0.08237822973766883,ade,best_of
187,0.10014870869664672,ade,best_of
188,0.046506797435034754,ade,best_of
189,0.1649353397319694,ade,best_of
190,0.1143296731398058,ade,best_of
191,0.09522196698168056,ade,best_of
192,0.16720689383229215,ade,best_of
193,0.02835416799458869,ade,best_of
194,0.07188936315509367,ade,best_of
195,0.0876341176457156,ade,best_of
196,0.09032876493780555,ade,best_of
197,0.3016565234333069,ade,best_of
198,0.10082120346016393,ade,best_of
199,0.2644131993284797,ade,best_of
200,0.30108233410618235,ade,best_of
201,0.19813297064600544,ade,best_of
202,0.169185724539442,ade,best_of
203,0.10071421634617932,ade,best_of
204,0.37962446649802906,ade,best_of
205,0.1767720674661211,ade,best_of
206,0.10343664837227255,ade,best_of
207,0.1875215731596421,ade,best_of
208,0.3292105270673818,ade,best_of
209,0.10150232923790105,ade,best_of
210,0.21002011566839954,ade,best_of
211,0.11026165579423176,ade,best_of
212,0.17317630010413324,ade,best_of
213,0.21027944818748254,ade,best_of
214,0.146942811703757,ade,best_of
215,0.5872354789324795,ade,best_of
