,value,metric,type
0,0.08591747925126841,ade,ml
1,0.24222389391575497,ade,ml
2,0.19383160764716897,ade,ml
3,0.12714358127887937,ade,ml
4,0.304736838934305,ade,ml
5,0.22327726027359515,ade,ml
6,0.09046871260632577,ade,ml
7,0.15065011591318467,ade,ml
8,0.22976410162270855,ade,ml
9,0.4536691408518403,ade,ml
10,0.4448963094763074,ade,ml
11,0.5952879660346814,ade,ml
12,0.6872956123890986,ade,ml
13,0.21666720863092012,ade,ml
14,0.33922613762144316,ade,ml
15,0.48362218021970066,ade,ml
16,0.5358427008447316,ade,ml
17,0.18561957152847466,ade,ml
18,0.13716424787746984,ade,ml
19,0.4214717471593074,ade,ml
20,0.9030909332584854,ade,ml
21,0.5099059981770461,ade,ml
22,0.6473445197709707,ade,ml
23,0.6744645595166562,ade,ml
24,0.3080154328596157,ade,ml
25,0.43130866819527297,ade,ml
26,0.14366177902247304,ade,ml
27,0.5410835269022772,ade,ml
28,0.09799900386732775,ade,ml
29,0.38827295228926606,ade,ml
30,0.11173722389349633,ade,ml
31,0.7152549945360925,ade,ml
32,0.7827305376410544,ade,ml
33,0.9914173947866244,ade,ml
34,0.2933817348620544,ade,ml
35,1.556822437735346,ade,ml
36,0.88298219509428,ade,ml
37,0.6127063921992001,ade,ml
38,0.3342787762959489,ade,ml
39,0.6004771038311704,ade,ml
40,0.22761971392029445,ade,ml
41,0.1581171290743664,ade,ml
42,0.6005621993463794,ade,ml
43,0.36735568625221804,ade,ml
44,0.4094513486709035,ade,ml
45,0.2248611276104959,ade,ml
46,0.7848578830253691,ade,ml
47,0.9331645277696358,ade,ml
48,0.6296239483513589,ade,ml
49,0.8956141561212458,ade,ml
50,0.23461340154081692,ade,ml
51,0.5305456038334629,ade,ml
52,0.5163260785134466,ade,ml
53,0.11429062502272112,ade,ml
54,1.4056808226936386,ade,ml
55,0.8060862782193539,ade,ml
56,0.30201848018899685,ade,ml
57,0.08334213834425165,ade,ml
58,0.610432464052664,ade,ml
59,0.1560924404788621,ade,ml
60,0.18578087071426805,ade,ml
61,0.35113648994197294,ade,ml
62,0.20430482700423944,ade,ml
63,0.11548096390408748,ade,ml
64,0.10728266298571447,ade,ml
65,0.3042445471273597,ade,ml
66,0.6437957005853504,ade,ml
67,0.4901547825228852,ade,ml
68,0.7563156405587023,ade,ml
69,0.7916559874005255,ade,ml
70,0.40110956563205663,ade,ml
71,0.49129012918207704,ade,ml
72,0.27284449146701056,ade,ml
73,0.14292600832681604,ade,ml
74,0.5222364926972008,ade,ml
75,0.7561755081902924,ade,ml
76,0.5373630405934655,ade,ml
77,0.677428110745642,ade,ml
78,0.34091654394196685,ade,ml
79,0.5119190210379966,ade,ml
80,0.13812630161141415,ade,ml
81,0.5390917709419679,ade,ml
82,0.09200903547787313,ade,ml
83,0.38501578456666313,ade,ml
84,0.11455303749167318,ade,ml
85,0.8648711737428002,ade,ml
86,0.738548607757925,ade,ml
87,1.0630345862611665,ade,ml
88,0.9545845959743149,ade,ml
89,0.6271385498453168,ade,ml
90,0.36720510672855533,ade,ml
91,0.9267827976446922,ade,ml
92,0.15884387328258717,ade,ml
93,0.06256592619656247,ade,ml
94,0.5448041022314006,ade,ml
95,0.43194003842295997,ade,ml
96,0.5390468965327674,ade,ml
97,0.21478297983817005,ade,ml
98,0.851397096980952,ade,ml
99,1.0372375754815601,ade,ml
100,0.6738503136387699,ade,ml
101,1.0609250169071538,ade,ml
102,0.28009924283416404,ade,ml
103,0.6066874732403066,ade,ml
104,0.5821012543982095,ade,ml
105,0.18256853207758064,ade,ml
106,1.4929244505937804,ade,ml
107,0.5336130805499092,ade,ml
108,0.22322503941118213,ade,ml
109,0.0778627918497115,ade,ml
110,0.81428778117287,ade,ml
111,0.13003417145514717,ade,ml
112,0.2505889289065717,ade,ml
113,0.3886406073210933,ade,ml
114,0.2021362688903853,ade,ml
115,0.06683707339453554,ade,ml
116,0.18987357245062128,ade,ml
117,0.35305575771890574,ade,ml
118,0.8736656396182871,ade,ml
119,0.49763319390951505,ade,ml
120,0.962411873722286,ade,ml
121,0.9215425238755129,ade,ml
122,0.5116160841370364,ade,ml
123,0.43808835110092365,ade,ml
124,0.36218495876328044,ade,ml
125,0.17355972131620168,ade,ml
126,0.5536438197038162,ade,ml
127,0.7932116435737185,ade,ml
128,0.5341181747419266,ade,ml
129,0.6252375584464264,ade,ml
130,0.40508662573893295,ade,ml
131,0.3996111199332349,ade,ml
132,0.17019079887355104,ade,ml
133,0.5812830694011816,ade,ml
134,0.11482860821526003,ade,ml
135,0.2654358870356529,ade,ml
136,0.2533657007100016,ade,ml
137,0.7023886334768443,ade,ml
138,1.0253617948189893,ade,ml
139,1.3958121848632006,ade,ml
140,0.5020426582004691,ade,ml
141,0.2895839839689754,ade,ml
142,0.9375471957240871,ade,ml
143,0.06286987530981052,ade,ml
144,0.029636122826900386,ade,ml
145,0.4995145605342112,ade,ml
146,0.5046948660390397,ade,ml
147,0.6315074888192264,ade,ml
148,0.1461835062155005,ade,ml
149,0.5895328514754198,ade,ml
150,0.6149879476909432,ade,ml
151,0.6343923626375186,ade,ml
152,0.6718598185404784,ade,ml
153,0.3413726456250923,ade,ml
154,0.6028201707518339,ade,ml
155,0.6118558149510017,ade,ml
156,0.2513907966304225,ade,ml
157,1.2321109168130935,ade,ml
158,0.3003237813975302,ade,ml
159,0.4546358660550503,ade,ml
160,0.29131673613001774,ade,ml
161,0.12943408094345007,ade,ml
162,0.9447645615131307,ade,ml
163,0.16088169186797774,ade,ml
164,0.30870991977234624,ade,ml
165,0.3986751528087001,ade,ml
166,0.17847958206957026,ade,ml
167,0.08896931205434284,ade,ml
168,0.22559412378829458,ade,ml
169,1.142593547713158,ade,ml
170,0.57027989395164,ade,ml
171,1.0697458240989484,ade,ml
172,0.9713785577111983,ade,ml
173,0.5216840962744175,ade,ml
174,0.392746803901965,ade,ml
175,0.47756998013954455,ade,ml
176,0.17400016097847038,ade,ml
177,0.5477939992399165,ade,ml
178,0.7439373109231209,ade,ml
179,0.4555577763241838,ade,ml
180,0.6722682771617535,ade,ml
181,0.4554614555635214,ade,ml
182,0.3484517142728576,ade,ml
183,0.13451665954733902,ade,ml
184,0.6385234676818264,ade,ml
185,0.13707627853902585,ade,ml
