,value,metric,type
0,0.2815408626071083,fde,best_of
1,0.4519453753202131,fde,best_of
2,0.2798240082562596,fde,best_of
3,0.20243675809435743,fde,best_of
4,0.46704927410244856,fde,best_of
5,0.297281301815859,fde,best_of
6,0.08708899696688237,fde,best_of
7,0.536909587441814,fde,best_of
8,0.33090806395578215,fde,best_of
9,0.9642324709108627,fde,best_of
10,0.21607663783318729,fde,best_of
11,0.7153872625024768,fde,best_of
12,0.2740065681393751,fde,best_of
13,0.2751609276426271,fde,best_of
14,0.1377254335045299,fde,best_of
15,0.23453939333055526,fde,best_of
16,0.3550960622017884,fde,best_of
17,0.7104233679105885,fde,best_of
18,0.0703680273044684,fde,best_of
19,0.27015701606475206,fde,best_of
20,0.32414929485275695,fde,best_of
21,0.18940797289375427,fde,best_of
22,1.1113500908071103,fde,best_of
23,0.15607077001339467,fde,best_of
24,0.30208106325109774,fde,best_of
25,0.3711788636254684,fde,best_of
26,0.19952892607150693,fde,best_of
27,0.11287486436150072,fde,best_of
28,0.04534641311402919,fde,best_of
29,0.16933638706381865,fde,best_of
30,0.1055576114797496,fde,best_of
31,0.15488621500569838,fde,best_of
32,0.6196892474987793,fde,best_of
33,1.8741746610332146,fde,best_of
34,0.43537335068667826,fde,best_of
35,0.7724968865910447,fde,best_of
36,0.025899416235710584,fde,best_of
37,0.12791924961063444,fde,best_of
38,0.31365302909117787,fde,best_of
39,0.30394948801231114,fde,best_of
40,0.13866429137619893,fde,best_of
41,0.21288143236491539,fde,best_of
42,0.35889672754225455,fde,best_of
43,0.20476221430234942,fde,best_of
44,0.8241496225056034,fde,best_of
45,0.2958132339555928,fde,best_of
46,0.9559606092393244,fde,best_of
47,1.1826865252818954,fde,best_of
48,0.7421481551173923,fde,best_of
49,0.5420692109208494,fde,best_of
50,0.28079363434439797,fde,best_of
51,0.5054734511912835,fde,best_of
52,0.5009115760231186,fde,best_of
53,0.23631064960958606,fde,best_of
54,0.6019453150839054,fde,best_of
55,0.24643490533005932,fde,best_of
56,0.8202605571920393,fde,best_of
57,0.16227417537910205,fde,best_of
58,1.3460793461878975,fde,best_of
