,value,metric,type
0,0.2444427324161742,ade,ml
1,0.1516320772651255,ade,ml
2,0.44730310644348253,ade,ml
3,0.0644567211969125,ade,ml
4,0.7438108189304229,ade,ml
5,0.1066104722258228,ade,ml
6,0.5790956178631053,ade,ml
7,0.06275869024158204,ade,ml
8,0.6484193754100755,ade,ml
9,0.11914331977191576,ade,ml
10,0.3389714244155984,ade,ml
11,0.1484223841235877,ade,ml
12,0.06257233536538982,ade,ml
13,0.07346100420598468,ade,ml
14,0.07161693134351597,ade,ml
15,0.12245481931789788,ade,ml
16,0.42532873053297376,ade,ml
17,0.08654059536255453,ade,ml
18,0.12586456057478623,ade,ml
19,0.1576001821261049,ade,ml
20,0.17573017137447602,ade,ml
21,0.16287968157734617,ade,ml
22,0.24350823195805193,ade,ml
23,0.099604660245953,ade,ml
24,0.2915180480904673,ade,ml
25,0.19274111247863057,ade,ml
26,0.09679307541785447,ade,ml
27,0.22717404497932117,ade,ml
28,0.20808983717386678,ade,ml
29,0.3109208702852272,ade,ml
30,0.18143733601021986,ade,ml
31,0.2630742654499449,ade,ml
32,0.17349310627074224,ade,ml
33,0.24940261534167932,ade,ml
34,0.24037061056507478,ade,ml
35,0.28623154447609916,ade,ml
36,0.11987766222171027,ade,ml
37,0.12274689941547236,ade,ml
38,0.123365188755319,ade,ml
39,0.18867162239621083,ade,ml
40,0.23895710332966394,ade,ml
41,0.23993284786590005,ade,ml
42,0.270238490861579,ade,ml
43,0.19485811077910198,ade,ml
44,0.08259368443077945,ade,ml
45,0.170091179294764,ade,ml
46,0.2417391922014176,ade,ml
47,0.41110848134653993,ade,ml
48,0.6496237746376593,ade,ml
49,0.16343006713580505,ade,ml
50,0.8338972453883154,ade,ml
51,0.19633344266400413,ade,ml
52,0.08988409651498021,ade,ml
53,1.1098683525064124,ade,ml
54,0.14152052687644642,ade,ml
55,0.11527381150371634,ade,ml
56,0.10203022426923926,ade,ml
57,1.3755252214275846,ade,ml
58,0.09092041933557525,ade,ml
59,0.14538954181054953,ade,ml
60,0.11921189224164559,ade,ml
61,1.5521444049513171,ade,ml
62,0.08219352816191618,ade,ml
63,0.13446487402070714,ade,ml
64,0.17836156991747287,ade,ml
65,1.3833510439183356,ade,ml
66,0.06427112000278044,ade,ml
67,0.06342482260297848,ade,ml
68,0.2389576249202712,ade,ml
69,0.2106489705479663,ade,ml
70,1.4726020872206835,ade,ml
71,0.08570206279325364,ade,ml
72,0.07674720425613656,ade,ml
73,0.3135391342720353,ade,ml
74,0.25924732100995845,ade,ml
75,1.3121348036762817,ade,ml
76,0.09038234482575257,ade,ml
77,0.12503488023721232,ade,ml
78,0.433303846421033,ade,ml
79,0.3343210307507524,ade,ml
80,0.14094927132591195,ade,ml
81,0.2448138230447607,ade,ml
82,1.6959352306537145,ade,ml
83,0.14293809378772923,ade,ml
84,0.13451683395832745,ade,ml
85,0.5246567171572817,ade,ml
86,0.39456067938756917,ade,ml
87,0.1327354434162102,ade,ml
88,0.28895712158293124,ade,ml
89,2.2108452579594995,ade,ml
90,0.1624404074078299,ade,ml
91,0.16368371754056935,ade,ml
92,0.3610356612882654,ade,ml
93,0.499273117782181,ade,ml
94,0.11921739788706583,ade,ml
95,0.324234798358286,ade,ml
96,1.8992264908418468,ade,ml
97,0.1997488727578258,ade,ml
98,0.13522165267251715,ade,ml
99,0.42381423642319005,ade,ml
100,0.6114008312789031,ade,ml
101,0.20624375581231882,ade,ml
102,0.27060103446326184,ade,ml
103,1.1458780501059367,ade,ml
104,0.1012922035806366,ade,ml
105,0.15863317026680218,ade,ml
106,0.5153898149391,ade,ml
107,0.5089465323768951,ade,ml
108,0.30329834939607636,ade,ml
109,0.5359312999448113,ade,ml
110,0.10890199226225733,ade,ml
111,0.19283617127314368,ade,ml
112,0.4329663515871407,ade,ml
113,0.3107741708935072,ade,ml
114,0.45175229054821536,ade,ml
115,0.6593977881488051,ade,ml
116,0.14853158355888396,ade,ml
117,0.23504300121271746,ade,ml
118,0.3917781223660006,ade,ml
119,0.2500927549251293,ade,ml
120,0.512882708770866,ade,ml
121,0.6421303264468522,ade,ml
122,0.18567217378111797,ade,ml
123,0.1684270786572825,ade,ml
124,0.3152599211540447,ade,ml
125,0.2756899507395481,ade,ml
126,0.47496396091118,ade,ml
127,0.5887804098829011,ade,ml
128,0.19826135211003248,ade,ml
129,0.17330843900727336,ade,ml
130,0.439381617192853,ade,ml
131,0.1339345790466497,ade,ml
132,0.27228731982777343,ade,ml
133,0.4669960210888308,ade,ml
134,0.08870661967547172,ade,ml
135,0.6466591569514704,ade,ml
136,0.38786438859064454,ade,ml
137,0.2830899862636867,ade,ml
138,0.3604006350343543,ade,ml
139,0.13969385006388282,ade,ml
140,0.5144673646185444,ade,ml
141,0.28849899536197293,ade,ml
142,0.40326227686651417,ade,ml
143,0.35028143917953486,ade,ml
144,0.20014645134119638,ade,ml
145,0.5685905315442198,ade,ml
146,0.25203272000346627,ade,ml
147,0.3045538017217693,ade,ml
148,0.21097175164363965,ade,ml
149,0.17481375273932798,ade,ml
150,0.22144573427250833,ade,ml
151,0.3280441993558537,ade,ml
152,0.26755475740832435,ade,ml
153,0.20539104679110398,ade,ml
154,0.10801761938762248,ade,ml
155,0.2381788623195272,ade,ml
156,0.28288287832055486,ade,ml
157,0.1289666949547583,ade,ml
158,0.14522197819647373,ade,ml
159,0.09348831177068824,ade,ml
160,0.09627647162418283,ade,ml
161,0.19042765856744437,ade,ml
162,0.22718819633103138,ade,ml
163,0.07931403669578761,ade,ml
164,0.057658822924687714,ade,ml
165,0.3973157639741578,ade,ml
166,0.31755806155270966,ade,ml
167,0.1983818662617467,ade,ml
168,0.11692418526615815,ade,ml
169,0.5488369784517659,ade,ml
170,0.4283310525581059,ade,ml
171,0.09089055318491872,ade,ml
172,0.08160412810063931,ade,ml
173,0.6104157874849545,ade,ml
174,0.39262069486301016,ade,ml
175,0.17197530494015742,ade,ml
176,0.14075925613365406,ade,ml
177,0.14718097347495998,ade,ml
178,0.18452165113978258,ade,ml
179,0.17536417107517524,ade,ml
180,0.10435289474483045,ade,ml
181,0.16114257377960803,ade,ml
182,0.1956794599448839,ade,ml
183,0.12753583838996804,ade,ml
184,0.16965348010691825,ade,ml
185,0.15531171220324916,ade,ml
186,0.3081338015160781,ade,ml
187,0.13755006310147905,ade,ml
188,0.25496702724633513,ade,ml
189,0.14275431711072975,ade,ml
190,0.30042321550658413,ade,ml
191,0.14431247158289692,ade,ml
192,0.30052937462592255,ade,ml
193,0.2896507340053999,ade,ml
194,0.35088544299384067,ade,ml
195,0.23913737375024036,ade,ml
196,0.49881014141809654,ade,ml
197,0.250798145376082,ade,ml
198,0.07627875850027958,ade,ml
199,0.24294323701880158,ade,ml
200,0.5706147566020651,ade,ml
201,0.2160125475123119,ade,ml
202,0.11748516423276963,ade,ml
203,0.23583612742033133,ade,ml
204,0.17322769970622995,ade,ml
205,0.22200176137983918,ade,ml
206,0.152423422030842,ade,ml
207,0.19921325059528147,ade,ml
208,0.15066080682876967,ade,ml
209,0.3360208284431914,ade,ml
210,0.266163059949871,ade,ml
211,0.22241563177622584,ade,ml
212,0.33626788809541613,ade,ml
213,0.54337823687172,ade,ml
214,0.13540107977919089,ade,ml
215,0.17117820822247973,ade,ml
216,0.8188805310793744,ade,ml
217,0.1170348639488968,ade,ml
218,0.23607898588447387,ade,ml
219,0.9208598166364689,ade,ml
220,0.16837339112694738,ade,ml
221,0.3458215030452461,ade,ml
222,0.23164842353082893,ade,ml
223,0.23176476333631257,ade,ml
224,0.42526607989047,ade,ml
225,0.28771896528547747,ade,ml
226,0.5816863664661337,ade,ml
227,0.41390048105322785,ade,ml
228,0.608309783860602,ade,ml
229,0.3230655353013337,ade,ml
230,0.4732133140397825,ade,ml
231,0.40957641028293595,ade,ml
232,0.4681972132610248,ade,ml
233,0.15568379899981208,ade,ml
234,0.2111729210914227,ade,ml
235,0.25491380327580837,ade,ml
236,0.3081074233487324,ade,ml
237,0.33125432851585224,ade,ml
238,0.19578693171273295,ade,ml
239,0.3678345093667057,ade,ml
240,0.46085679288069786,ade,ml
241,0.17484800924804245,ade,ml
242,0.23211400064796994,ade,ml
243,0.7056590335061065,ade,ml
244,0.42548347283391835,ade,ml
245,0.7263196558187858,ade,ml
246,0.6776746881870124,ade,ml
247,0.848377103275953,ade,ml
248,0.469517191294666,ade,ml
249,0.9301976056109963,ade,ml
250,1.1434246355983364,ade,ml
251,0.4606408617682997,ade,ml
252,0.30450444337413946,ade,ml
253,1.0585076397187947,ade,ml
254,0.219689036095756,ade,ml
255,0.07774922067993374,ade,ml
256,0.8527395897077533,ade,ml
257,1.2843185907961443,ade,ml
258,0.15340464640318544,ade,ml
259,0.13461699805835672,ade,ml
260,1.054750696565416,ade,ml
261,0.25410841183599703,ade,ml
262,0.25180386232440216,ade,ml
263,0.11391132839535485,ade,ml
264,1.329252018690577,ade,ml
265,0.19806307375049048,ade,ml
266,0.16619906775284146,ade,ml
267,1.3949963812732034,ade,ml
268,0.1561086625980362,ade,ml
269,0.24329599790162967,ade,ml
270,0.18498925003567546,ade,ml
271,0.14412490849687423,ade,ml
272,0.28408136915141063,ade,ml
273,1.2135204289814263,ade,ml
274,0.1796446749049355,ade,ml
275,0.19301343999053377,ade,ml
276,1.3923474606672575,ade,ml
277,0.1348939348524645,ade,ml
278,0.34167124261042386,ade,ml
279,0.20852171574128606,ade,ml
280,0.19152957718897734,ade,ml
281,0.41909906578276873,ade,ml
282,1.3463600713065895,ade,ml
283,0.2311347923337085,ade,ml
284,0.2328782504477491,ade,ml
285,1.6483874039156168,ade,ml
286,0.1713063354132788,ade,ml
287,0.400755443259358,ade,ml
288,0.3097767166392517,ade,ml
289,0.29798124505703766,ade,ml
290,0.656763195088944,ade,ml
291,1.4439743788317496,ade,ml
292,0.25298149175253265,ade,ml
293,0.306054453580953,ade,ml
294,1.4080890526212038,ade,ml
295,0.1952943323489477,ade,ml
296,0.5470166622148046,ade,ml
297,0.3314079483547297,ade,ml
298,0.4404552998293367,ade,ml
299,0.41241663144004326,ade,ml
300,1.4032175819002457,ade,ml
301,0.10521290260230304,ade,ml
302,0.16057100175810454,ade,ml
303,1.2285296782867976,ade,ml
304,0.07925963291368977,ade,ml
305,0.671907549013885,ade,ml
306,0.3259532743573784,ade,ml
307,0.6018270562478866,ade,ml
308,0.7316293585835271,ade,ml
309,0.9593824633576425,ade,ml
310,0.2731220096355713,ade,ml
311,0.130785866257204,ade,ml
312,1.0929866206582837,ade,ml
313,0.15431024779545308,ade,ml
314,0.4940109872974439,ade,ml
315,0.12027165121045962,ade,ml
316,0.7589830768480685,ade,ml
317,0.30311572168788997,ade,ml
318,0.995940865581655,ade,ml
319,0.2786683639863334,ade,ml
320,0.15054154213880552,ade,ml
321,0.7276358629420261,ade,ml
322,0.09527395618109237,ade,ml
323,0.2937163597401196,ade,ml
324,0.06541616305063061,ade,ml
325,0.7462956051542803,ade,ml
326,0.30112478544212623,ade,ml
327,0.30155824979683876,ade,ml
328,0.2185065103279384,ade,ml
329,0.08211548455883294,ade,ml
330,0.799720107334604,ade,ml
331,0.11614346467418729,ade,ml
332,0.5273148949324776,ade,ml
333,0.30193615495178044,ade,ml
334,0.4591259518344805,ade,ml
335,0.14630290965643108,ade,ml
336,0.16518030777971407,ade,ml
337,0.19418246932171424,ade,ml
338,0.13290734747076974,ade,ml
339,0.7250733871979517,ade,ml
340,0.37601583252062004,ade,ml
341,0.12435479702123999,ade,ml
342,0.1841838849840799,ade,ml
343,0.3002205241300971,ade,ml
344,0.13874489042204494,ade,ml
345,0.3508206220809889,ade,ml
346,0.4305050998461471,ade,ml
347,0.22838660777875655,ade,ml
348,0.32867912628490265,ade,ml
349,0.22192763133020277,ade,ml
350,0.3547097706698525,ade,ml
351,0.46598693302628097,ade,ml
352,0.1511122900197596,ade,ml
353,0.5090585001325955,ade,ml
354,0.2000463657812488,ade,ml
355,0.21293132229913123,ade,ml
356,0.46001392006364816,ade,ml
357,0.06780790257200495,ade,ml
358,0.6030196699496365,ade,ml
359,0.2074421711763601,ade,ml
360,0.5587971855420256,ade,ml
361,0.1914126272671186,ade,ml
362,0.3485441279611778,ade,ml
363,0.47015504564404176,ade,ml
364,0.07483341167131108,ade,ml
365,0.46754439437416856,ade,ml
366,0.2794531803691611,ade,ml
367,0.4713798367337252,ade,ml
368,0.31476094017345096,ade,ml
369,0.24541272630639932,ade,ml
370,0.543105113560685,ade,ml
371,0.0824891081365035,ade,ml
372,0.2938315333447687,ade,ml
373,0.32097373369296206,ade,ml
374,0.2089532561066576,ade,ml
375,0.25278328136392425,ade,ml
376,0.24042459876766795,ade,ml
377,0.11233039911768455,ade,ml
378,0.3839756425809569,ade,ml
379,0.2517935291687439,ade,ml
380,0.2782364720034411,ade,ml
381,0.2684812221040635,ade,ml
382,0.30905272049517724,ade,ml
383,0.24598597137742062,ade,ml
384,0.28411789968987716,ade,ml
385,0.3336639656461365,ade,ml
386,0.3736599224970518,ade,ml
387,0.22671303464584022,ade,ml
388,0.3323122510704038,ade,ml
389,0.16891881754462537,ade,ml
390,0.4227971914862716,ade,ml
391,0.21554875035356832,ade,ml
392,0.2891416432441259,ade,ml
393,0.35877183574703925,ade,ml
394,0.33396668576633615,ade,ml
395,0.27012305287978555,ade,ml
396,0.19178136196696316,ade,ml
397,0.37943451117885196,ade,ml
398,0.12303004076762403,ade,ml
399,0.32519353198863254,ade,ml
400,0.20482384276881047,ade,ml
401,0.37417771578803044,ade,ml
402,0.10358631332772711,ade,ml
403,0.27384154431680635,ade,ml
404,0.2576385298101971,ade,ml
405,0.5239865514505224,ade,ml
406,0.22923044616639945,ade,ml
407,0.35177701286819724,ade,ml
408,0.6616741666149236,ade,ml
409,0.2811836818702505,ade,ml
410,0.41103674745932595,ade,ml
411,0.6330994883666383,ade,ml
412,0.45929104829726014,ade,ml
413,0.3979017479421519,ade,ml
414,0.6636477494850591,ade,ml
415,0.7563499825863679,ade,ml
416,0.6106036121274587,ade,ml
417,0.3518786422168418,ade,ml
418,0.2168306631627325,ade,ml
419,1.0930726246996088,ade,ml
420,0.341911020373937,ade,ml
421,1.1246628063117556,ade,ml
422,0.40439324086418,ade,ml
423,0.05422652358593877,ade,ml
424,1.0104268169521269,ade,ml
425,0.20118284277685758,ade,ml
426,0.08521620669290458,ade,ml
427,0.15199180244308455,ade,ml
428,1.2293192252379535,ade,ml
429,0.05836176421526956,ade,ml
430,0.13431779277755349,ade,ml
431,0.05233691590250841,ade,ml
432,0.6589251178966666,ade,ml
433,0.061283788275869416,ade,ml
434,0.07048650310892256,ade,ml
435,0.15091220062872623,ade,ml
436,0.23619847694473242,ade,ml
437,0.05361453748681922,ade,ml
438,0.07586386328197628,ade,ml
439,0.17426129429985548,ade,ml
440,0.39045991624810955,ade,ml
441,0.0920883524560574,ade,ml
442,0.1275000479062863,ade,ml
443,0.145646535801872,ade,ml
444,0.2511526333910557,ade,ml
445,0.4187596470593246,ade,ml
446,0.11036358009695497,ade,ml
447,0.1635341191210452,ade,ml
448,0.25884745645162677,ade,ml
449,0.35090788241264986,ade,ml
450,0.2557444212904164,ade,ml
451,0.17656349140592856,ade,ml
452,0.16075734952916662,ade,ml
453,0.3500821361904751,ade,ml
454,0.18629433021849248,ade,ml
455,0.11444975300884676,ade,ml
456,0.11822960358577662,ade,ml
457,0.0827461682421696,ade,ml
458,0.2841408078136825,ade,ml
459,0.12566959934415053,ade,ml
460,0.14598953935289874,ade,ml
461,0.25814897816405136,ade,ml
462,0.13313452511790416,ade,ml
463,0.194334553500671,ade,ml
464,0.16931466856566582,ade,ml
465,0.28905198911321545,ade,ml
466,0.11531056187237575,ade,ml
467,0.15521212057735526,ade,ml
468,0.20433545038671252,ade,ml
469,0.3509075136125756,ade,ml
470,0.19981420212346593,ade,ml
471,0.1761689932483483,ade,ml
472,0.1824386351253425,ade,ml
473,0.004722147464812046,ade,ml
474,0.15775686727858737,ade,ml
475,0.2404922943677882,ade,ml
476,0.1747961276888812,ade,ml
477,0.25065679036641386,ade,ml
478,0.009747774488207047,ade,ml
479,0.1740234314885467,ade,ml
480,0.31210050421219865,ade,ml
481,0.2062330744994019,ade,ml
482,0.30744694305257686,ade,ml
483,0.005452317940559538,ade,ml
484,0.3027016033912233,ade,ml
485,0.28214792312160747,ade,ml
486,0.24584530598638932,ade,ml
487,0.37974913562654394,ade,ml
488,0.004135645738231059,ade,ml
489,0.25314062613901844,ade,ml
490,0.037246238280328935,ade,ml
491,0.3485848897077126,ade,ml
492,0.18015374472456877,ade,ml
493,0.4246362839524262,ade,ml
494,0.1876892030939128,ade,ml
495,0.0086000593404017,ade,ml
496,0.16038083589560162,ade,ml
497,0.05780535128595112,ade,ml
498,0.3095828239581632,ade,ml
499,0.681224497180621,ade,ml
500,0.024989893160310025,ade,ml
501,0.008919294910230269,ade,ml
502,0.18748069250957422,ade,ml
503,0.0606872807439886,ade,ml
504,0.39832652417648834,ade,ml
