,value,metric,type
0,-0.48240089406970216,kde,full
1,-2.0459672542300837,kde,full
2,2.542444460333293,kde,full
3,-2.025165416690161,kde,full
4,1.1813106340114616,kde,full
5,-2.2705505989875547,kde,full
6,0.30339535688237645,kde,full
7,-2.486320909204125,kde,full
8,0.7309191318235346,kde,full
9,-2.0637668578467703,kde,full
10,0.6051885356016635,kde,full
11,-1.849801469105273,kde,full
12,-1.4900196319762704,kde,full
13,-2.4178452908690007,kde,full
14,-1.8047636348820604,kde,full
15,-2.4552610695046355,kde,full
16,-0.10101405490014873,kde,full
17,-1.8553881889623065,kde,full
18,-2.496326152523005,kde,full
19,-0.7056543536665127,kde,full
20,-1.5538904337625628,kde,full
21,-2.0937978902784833,kde,full
22,-1.5469429418008116,kde,full
23,-1.8865048911356614,kde,full
24,-1.0158573663102426,kde,full
25,-2.3008617078592453,kde,full
26,-0.17404871944035089,kde,full
27,-2.1398619462726605,kde,full
28,-1.7843643753985932,kde,full
29,-0.9388128284134254,kde,full
30,-2.0454091016236373,kde,full
31,-1.5774798971957493,kde,full
32,-1.9596551544772882,kde,full
33,-1.7650377005544804,kde,full
34,-0.674121415191793,kde,full
35,-0.6939781325883966,kde,full
36,-2.1741755163404863,kde,full
37,-1.9084964356696668,kde,full
38,-2.149146986079715,kde,full
39,-1.974049921764271,kde,full
40,-1.4409804776152195,kde,full
41,-1.504922582786616,kde,full
42,-1.4682352793827442,kde,full
43,-1.2199501494891514,kde,full
44,-1.1329284254488903,kde,full
45,-1.7760495233421496,kde,full
46,-1.7559478196432625,kde,full
47,-1.2934858657315453,kde,full
48,-0.7574789170748493,kde,full
49,-2.2531661036173736,kde,full
50,0.9406932276298573,kde,full
51,-1.8615509608577487,kde,full
52,-2.419251419037129,kde,full
53,3.0156287663705728,kde,full
54,-1.937234882178825,kde,full
55,-2.3418827889151457,kde,full
56,-1.5756418945860986,kde,full
57,3.8065762921811945,kde,full
58,-1.9052647866908026,kde,full
59,-2.3102559325138414,kde,full
60,-1.8413244592207003,kde,full
61,5.956043036276238,kde,full
62,-2.1985828505015608,kde,full
63,-2.3437256098696873,kde,full
64,-1.9026027578701064,kde,full
65,5.009507797732898,kde,full
66,-2.2751432743383684,kde,full
67,-2.3367220368259782,kde,full
68,-1.700060898663919,kde,full
69,-2.511134418267127,kde,full
70,3.492118811520586,kde,full
71,-2.2320838656206097,kde,full
72,-2.385419995446465,kde,full
73,-1.562898298087518,kde,full
74,-2.222241399036563,kde,full
75,4.151614150827203,kde,full
76,-2.2774617640641024,kde,full
77,-2.352144795587407,kde,full
78,-0.978501364387288,kde,full
79,-1.6588118521434518,kde,full
80,-1.874432808623755,kde,full
81,-1.4946085779321767,kde,full
82,5.246530424970861,kde,full
83,-2.2549863315419114,kde,full
84,-2.2752932248239945,kde,full
85,-0.21810601590200673,kde,full
86,-1.1695322834467157,kde,full
87,-1.8485030572886436,kde,full
88,-0.9703983145248298,kde,full
89,7.064009273609352,kde,full
90,-2.1686382026795585,kde,full
91,-2.080392738726827,kde,full
92,1.0759999776775988,kde,full
93,-0.8578514613556016,kde,full
94,-1.7909956045466084,kde,full
95,-0.42705761082661037,kde,full
96,8.929102513311104,kde,full
97,-1.8514271429052547,kde,full
98,-2.0802082091236396,kde,full
99,-0.9648176051397395,kde,full
100,0.11741896288727843,kde,full
101,-1.4884826263417572,kde,full
102,0.02242701889219048,kde,full
103,2.6129851314684207,kde,full
104,-1.581691703164318,kde,full
105,-1.9579824923676188,kde,full
106,-0.6554685335702486,kde,full
107,0.7560384982625685,kde,full
108,-1.239135532250147,kde,full
109,-0.3608590614057995,kde,full
110,-2.0245243135414865,kde,full
111,-1.743425231074372,kde,full
112,-0.6279726779104519,kde,full
113,0.8547108619699559,kde,full
114,-0.624233327209966,kde,full
115,-0.24977213440500695,kde,full
116,-2.0362731361755144,kde,full
117,-1.3552747880342069,kde,full
118,-0.9185645475655978,kde,full
119,-1.1667656574095637,kde,full
120,-0.6037629532453282,kde,full
121,0.0969814591546887,kde,full
122,-1.994563232735821,kde,full
123,-1.2289127552856465,kde,full
124,0.2789055196188901,kde,full
125,-0.9749357313804233,kde,full
126,-0.46718454156242484,kde,full
127,-0.19141740705060778,kde,full
128,-1.816007279646903,kde,full
129,-0.7233060286975688,kde,full
130,0.8512009210409521,kde,full
131,-1.033290402803063,kde,full
132,0.6295668238126119,kde,full
133,1.5340340248749422,kde,full
134,-2.251328344740143,kde,full
135,0.6794490261141706,kde,full
136,-0.676450406420639,kde,full
137,-1.0794971371771607,kde,full
138,-1.0270856119152418,kde,full
139,-1.8680183744171504,kde,full
140,1.1915975925979145,kde,full
141,-1.4537754214350511,kde,full
142,-0.25812025079590734,kde,full
143,-0.48031672687781457,kde,full
144,-1.6590999853585096,kde,full
145,-0.5767204698507156,kde,full
146,-1.9173753895443895,kde,full
147,-0.08003146573078265,kde,full
148,-1.4715216447443507,kde,full
149,-1.833444887070074,kde,full
150,-1.5938748694858924,kde,full
151,1.0295817172136255,kde,full
152,-1.9780344804586474,kde,full
153,-1.5085165977183697,kde,full
154,-1.9525020346920179,kde,full
155,-1.4928374166326153,kde,full
156,-1.4361493787384365,kde,full
157,-1.5663412278165243,kde,full
158,-1.9132982131295688,kde,full
159,-1.5515973445752056,kde,full
160,-1.5133575951854998,kde,full
161,-1.1025427287390885,kde,full
162,-2.1347780416120807,kde,full
163,-2.0110188881362623,kde,full
164,-2.040195012140542,kde,full
165,-0.6320238805062335,kde,full
166,-1.7901799393385998,kde,full
167,-1.2378176109038175,kde,full
168,-2.1278359647600613,kde,full
169,-0.7251913860308496,kde,full
170,-0.6226627433836134,kde,full
171,-1.0865227939281628,kde,full
172,-2.291913438243649,kde,full
173,-0.7149706914158944,kde,full
174,-0.6129810255303063,kde,full
175,-1.955210746962821,kde,full
176,-2.2466442434977685,kde,full
177,-1.6004491701744412,kde,full
178,-0.31485779426655214,kde,full
179,-1.8955179735579004,kde,full
180,-2.420100361853778,kde,full
181,-1.385099084911733,kde,full
182,-1.8585757436654953,kde,full
183,-2.23908226546524,kde,full
184,-1.5550677962525372,kde,full
185,-2.028820419120127,kde,full
186,-1.6574180407460375,kde,full
187,-2.142051525862365,kde,full
188,-1.686545658891081,kde,full
189,-2.0172816161868274,kde,full
190,-1.4391408037688789,kde,full
191,-2.3744903731903557,kde,full
192,-1.2629265887133254,kde,full
193,-1.193583181671845,kde,full
194,-1.0341610612871843,kde,full
195,-1.9948613386172507,kde,full
196,0.25336890121927425,kde,full
197,-1.5901118283372997,kde,full
198,-1.0586597130583033,kde,full
199,-1.7441044449811134,kde,full
200,-0.36347270385341224,kde,full
201,-1.5484389805451375,kde,full
202,-1.9132759711332374,kde,full
203,-1.4751640473103858,kde,full
204,0.8672617666513844,kde,full
205,-1.9600046822522557,kde,full
206,-1.7712254993311154,kde,full
207,-0.18046020601627188,kde,full
208,-1.506934744030838,kde,full
209,-1.4586103548016291,kde,full
210,-1.43684293558529,kde,full
211,-1.8152097611858733,kde,full
212,-0.9612100424462373,kde,full
213,-0.2676005130341411,kde,full
214,-1.9215606228624846,kde,full
215,-1.213653767742686,kde,full
216,0.5417242517236924,kde,full
217,-1.776155413785778,kde,full
218,-1.7187213999732178,kde,full
219,1.9892762201090455,kde,full
220,-2.2372978283611458,kde,full
221,-1.1090046640553168,kde,full
222,-2.126396212317262,kde,full
223,-1.1647966447299865,kde,full
224,-0.7890478971472845,kde,full
225,-1.7379259231213589,kde,full
226,0.016265280760747514,kde,full
227,-1.115323456172631,kde,full
228,0.9245567063988682,kde,full
229,-0.7290019130150674,kde,full
230,2.093066155595546,kde,full
231,-0.4361654184189239,kde,full
232,-0.10735243894049804,kde,full
233,-1.6903076222593039,kde,full
234,-1.6017449912004103,kde,full
235,-1.487089287928701,kde,full
236,-1.167162362631997,kde,full
237,-0.8109026269309187,kde,full
238,-0.10461341588783399,kde,full
239,-1.179479253473779,kde,full
240,-0.8142725226763601,kde,full
241,-2.0714690216695932,kde,full
242,-1.8708078869237943,kde,full
243,-0.577027848642677,kde,full
244,-0.5017188507868844,kde,full
245,-0.5902850053649665,kde,full
246,-0.14489787637153784,kde,full
247,-0.29312317923445824,kde,full
248,-1.0347935540364965,kde,full
249,1.1353394174174452,kde,full
250,1.4295365873515378,kde,full
251,-0.8866888218064173,kde,full
252,-0.9464496465128664,kde,full
253,1.604583255201002,kde,full
254,0.4507553813467809,kde,full
255,-1.2859215208605754,kde,full
256,3.215087347980966,kde,full
257,3.5038446383546145,kde,full
258,-1.807273467146633,kde,full
259,-1.7823053970336105,kde,full
260,1.254175525119385,kde,full
261,-1.2118211826072671,kde,full
262,-1.8549988582367938,kde,full
263,-2.28322988644171,kde,full
264,5.81741385467369,kde,full
265,-1.7055967894084392,kde,full
266,-1.9125726624128068,kde,full
267,4.630798192568863,kde,full
268,-1.3409427124937603,kde,full
269,-1.8508058865811452,kde,full
270,-2.1836836117827367,kde,full
271,-1.7308298936676052,kde,full
272,-0.9262703943385175,kde,full
273,3.3560562383309636,kde,full
274,-1.871476743929359,kde,full
275,-1.986361259217842,kde,full
276,4.6505442065245814,kde,full
277,-1.251866005789509,kde,full
278,-1.1868930792194274,kde,full
279,-2.1772133077007534,kde,full
280,-1.7750383397688856,kde,full
281,2.0379334315163087,kde,full
282,3.6556292613555263,kde,full
283,-1.45201833620259,kde,full
284,-1.8747882392995603,kde,full
285,5.78483541024902,kde,full
286,-1.3176015585891474,kde,full
287,-1.6804558702655799,kde,full
288,-1.4456827817164852,kde,full
289,-1.2837817104735856,kde,full
290,2.0680711961995963,kde,full
291,6.360142008605115,kde,full
292,-1.0166833126690498,kde,full
293,-0.9256365852520408,kde,full
294,3.015366116230742,kde,full
295,-1.1833627733301149,kde,full
296,-0.618370062910371,kde,full
297,-1.4351483718187468,kde,full
298,-0.663264367830974,kde,full
299,1.8652859948759488,kde,full
300,6.1993247656766375,kde,full
301,0.724591273487708,kde,full
302,-1.8499314492850454,kde,full
303,0.9626313309994463,kde,full
304,-1.2242217380857854,kde,full
305,-0.28690988569901377,kde,full
306,-1.066899690311855,kde,full
307,-0.9880231642705415,kde,full
308,0.5824720667861087,kde,full
309,3.37317699712734,kde,full
310,-1.1447931772199498,kde,full
311,-2.476745914335042,kde,full
312,2.0139438481797103,kde,full
313,-1.6901940901009842,kde,full
314,0.5333644452347998,kde,full
315,-1.77301529016612,kde,full
316,-0.3841785879710083,kde,full
317,1.5791376786228575,kde,full
318,1.4457732351052501,kde,full
319,-1.2801259621180399,kde,full
320,-2.0817548426811894,kde,full
321,1.2427347361904875,kde,full
322,-2.201210447224313,kde,full
323,-1.5762267773902796,kde,full
324,-2.565271285266979,kde,full
325,-0.18496041121436024,kde,full
326,-0.6216125502846218,kde,full
327,1.4168376707250707,kde,full
328,-1.2392917461377035,kde,full
